tijd,positie1,positie2
0.0000000000000000e+00,1.9701837774325079e-20,0.0000000000000000e+00
6.0001200024000476e-07,5.9209809099340145e-20,0.0000000000000000e+00
1.2000240004800095e-06,1.1862874752632156e-19,0.0000000000000000e+00
1.8000360007200143e-06,1.9806402707652533e-19,0.0000000000000000e+00
2.4000480009600190e-06,2.9762156494934862e-19,0.0000000000000000e+00
3.0000600012000238e-06,4.1740782424364680e-19,0.0000000000000000e+00
3.6000720014400286e-06,5.5752981669226657e-19,0.0000000000000000e+00
4.2000840016800333e-06,7.1809510540985769e-19,0.0000000000000000e+00
4.8000960019200381e-06,8.9921180765402603e-19,0.0000000000000000e+00
5.4001080021600428e-06,1.1009885975998897e-18,0.0000000000000000e+00
6.0001200024000476e-06,1.3235347091281030e-18,0.0000000000000000e+00
6.6001320026400524e-06,1.5669599386264075e-18,0.0000000000000000e+00
7.2001440028800571e-06,1.8313746478047793e-18,0.0000000000000000e+00
7.8001560031200627e-06,2.1168897665242304e-18,0.0000000000000000e+00
8.4001680033600666e-06,2.4236167956393318e-18,0.0000000000000000e+00
9.0001800036000706e-06,2.7516678098545232e-18,0.0000000000000000e+00
9.6001920038400762e-06,3.1011554605942687e-18,0.0000000000000000e+00
1.0200204004080082e-05,3.4721929788871327e-18,0.0000000000000000e+00
1.0800216004320086e-05,3.8648941782638291e-18,0.0000000000000000e+00
1.1400228004560090e-05,4.2793734576693220e-18,0.0000000000000000e+00
1.2000240004800095e-05,4.7157458043890311e-18,0.0000000000000000e+00
1.2600252005040101e-05,5.1741267969892206e-18,0.0000000000000000e+00
1.3200264005280105e-05,5.6546326082716263e-18,0.0000000000000000e+00
1.3800276005520109e-05,6.1573800082423960e-18,0.0000000000000000e+00
1.4400288005760114e-05,6.6824863670954065e-18,0.0000000000000000e+00
1.5000300006000120e-05,7.2300696582100235e-18,0.0000000000000000e+00
1.5600312006240125e-05,7.8002484611633743e-18,0.0000000000000000e+00
1.6200324006480128e-05,8.3931419647571999e-18,0.0000000000000000e+00
1.6800336006720133e-05,9.0088699700593582e-18,0.0000000000000000e+00
